Date,ADM,CONAGRA,CPB,GMILLS,HORMEL,SMUCKER,MKC,HSY,TYSONS,FMC,MOSAIC,SYSCO,ALICO,INGREDION,ANDERSONS,BUNGE,ALTRIA,SSTA
04-06-92,10.231888,10.797666,17,13.559766,2.140625,,11.75,9.90625,11.333333,9.594536,25.5,5.96875,24.5,,,,25.708334,1.6
4/13/1992,9.771453,11.089494,17.125,13.714734,2.1875,,12.625,10.25,11.25,9.54033,25.4375,6.5,24.5,,,,26,1.4
4/20/1992,9.771453,10.16537,16.625,13.043203,2.25,,11.75,10,11.083333,9.865568,24.0625,6.21875,24.5,,,,25.291666,1.2
4/27/1992,9.771453,10.16537,17.0625,13.146516,2.28125,,10.9375,10.28125,10.583333,9.973981,24.875,6.0625,25,,,,25.791666,1.2
05-04-92,10.283047,10.116732,17.375,12.759093,2.234375,,11.125,10.03125,11.416667,10.461839,24.9375,6.09375,23,,,,26,1.3
05-11-92,9.720293,9.873541,16.1875,12.3975,2.25,,11.0625,9.84375,11.833333,10.516046,24.8125,5.90625,20.5,,,,25.875,1.2
5/18/1992,10.487685,9.970818,16.6875,12.629953,2.28125,,11.125,9.9375,12.833333,10.651561,24.3125,6.3125,21,,,,25.333334,1.1
5/25/1992,10.538844,10.068093,17.1875,13.120687,2.3125,,12.25,10.15625,12.416667,10.787077,23,6.28125,21,,,,25.833334,1.1
06-01-92,10.538844,10.116732,16.1875,12.965719,2.296875,,12,10.09375,12.416667,10.922593,23.125,6.14062,21.5,,,,24.791666,0.9
06-08-92,9.771453,9.922179,16.5,12.991547,2.34375,,11.375,9.84375,12.666667,10.841284,24.6875,6.0625,23,,,,24.75,0.6
6/15/1992,9.771453,9.63035,16.4375,13.043203,2.3125,,10.625,10.0625,11.583333,10.570251,22.1875,6.125,22.5,,,,24.208334,0.2
6/22/1992,9.822612,10.068093,17.6875,13.766391,2.453125,,11.125,10.34375,11.333333,10.651561,21.375,5.96875,22.125,,,,24.416666,0.1
6/29/1992,9.669134,10.457198,18.125,13.921359,2.546875,,12.5,10.5,11.5,10.81418,21.3125,6.0625,22.125,,,,25.916666,0.1
07-06-92,10.538844,10.797666,18.75,14.257125,2.578125,,12.25,10.71875,11.666667,10.353426,21.8125,6.40625,23.25,,,,26.375,0.7
7/13/1992,10.999279,10.408561,18.875,14.179641,2.59375,,12.5,10.875,12.166667,10.272117,19.6875,6.375,22.75,,,,26.125,0.5
7/20/1992,10.692323,10.846304,18.25,13.818047,2.640625,,12.375,10.53125,12.75,10.299219,19.5,6.0625,22.5,,,,25.833334,0
7/27/1992,11.152758,10.700389,18.9375,14.437922,2.5625,,12.6875,10.9375,13.333333,10.407632,22.5625,6.4375,22,,,,26.625,0.1
08-03-92,10.999279,10.894941,18.9375,14.386266,2.59375,,12.625,10.71875,13.666667,10.732871,21.0625,6.25,21.5,,,,26.708334,-0.2
08-10-92,10.904634,10.94358,18.9375,14.541234,2.5625,,12.875,10.78125,13.916667,10.353426,21.375,6.21875,21.5,,,,26.625,-0.3
8/17/1992,10.689765,11.138132,19.1875,14.46375,2.5,,12.625,10.6875,13.833333,10.109497,20.75,6.21875,21.25,,,,26.625,-0.3
8/24/1992,10.689765,11.284047,18.4375,14.308782,2.53125,,12.625,10.6875,13.5,10.245013,21.125,6.3125,21,,,,27.25,-0.1
8/31/1992,10.743482,11.72179,18.6875,14.747859,2.484375,,12.625,10.9375,13.25,10.028188,22.1875,6.34375,21.125,,,,28.25,-0.4
09-07-92,10.958351,11.916343,19.5625,14.954484,2.5625,,13.125,11.125,13.166667,9.946877,22,6.34375,21,,,,28.083334,-0.3
9/14/1992,10.58233,11.770428,19.875,15.031969,2.515625,,13.625,11.125,13.166667,10.21791,22.6875,6.21875,20.5,,,,28.625,-0.2
