Year,Quarter,price,total.pce,n.durable,n.motor,n.furnishing,n.recreational,n.otherdurable,n.total.nondurable,n.food,n.clothing,n.gasoline,n.othernondurable,n.services,n.housing.utilities,n.healthcare,n.transport,n.recreation,n.food.services,n.financial,n.other.services,n.housing,n.utilities,n.outpatient,n.hospital,n.motor.services,n.public.transport,n.savings,n.pce,n.nondurable,deflator,n.energy,auerbach,hamilton,rgdp,rpg,miles,sales
1972,Q4,22.855,800.5,123.4,52.701,35,24.2,11.5,268.1,118.6,56.3,31.364,61.8,409,136.1,62.1,25.2,16.9,50.7,38.3,66.2,112.167,23.952,27.414,34.664,16.094,9.098,127.6,769.136,236.7,24.134,51.108,0,0,1.67446,,,-4.3180603
1973,Q1,23.131,825,131.8,57.07,37.1,25.5,12.2,275.5,121.1,58.3,32.524,63.5,417.7,138.6,64.4,25.6,17.6,52.7,38.7,66.9,115.031,23.528,28.54,35.905,16.375,9.195,121.7,792.476,243,24.412,51.789,0,0,2.47481,,1.10951,-2.9172157
1973,Q2,23.576,840.5,131.3,55.834,37.7,25.1,12.7,281.4,124,59,33.454,64.9,427.8,141.8,66.5,25.9,18.2,53.5,39.5,68.7,117.615,24.179,29.504,36.975,16.633,9.285,132.7,807.046,247.9,24.787,53.22,0,0,1.08865,,1.00268,8.3090958
1973,Q3,24.005,858.9,130.8,54.038,38.2,25.5,13.1,289.9,129.7,59.4,34.234,66.6,438.2,145.3,68.1,26.2,18.5,55.5,40.3,70.4,120.263,25.054,30.545,37.51,16.731,9.494,136.6,824.666,255.7,25.27,54.799,0,0,-0.5259,,0.76555,3.3601925
1973,Q4,24.496,873.9,128.2,50.489,38.9,25.3,13.6,297.7,132,60.3,37.087,68.3,448,148.3,69.7,26.6,19.1,57.6,41.3,71.3,123.047,25.223,30.833,38.888,16.841,9.756,152.3,836.813,260.6,25.773,57.723,0,1,0.94923,,0.68669,-5.4793943
1974,Q1,25.225,891.9,126.7,47.026,40.1,25.5,14,308.9,137.6,61.6,39.207,70.4,456.4,151.5,71.9,27.4,19.6,57.9,41.1,72.3,125.917,25.572,31.992,39.865,17.007,10.358,148.7,852.693,269.7,26.26,60.086,1,1,-0.85977,,-0.6296,-10.456583
1974,Q2,25.939,920.4,130.6,48.14,41.2,26.6,14.6,318,139.6,62.7,44.173,71.5,471.8,156.4,74.6,28.1,20.4,59.7,42.6,74.4,128.364,28.07,32.4,42.212,17.297,10.782,139.6,876.227,273.8,26.88,67.365,1,1,0.23768,,-0.96252,12.670004
1974,Q3,26.639,949.3,136.3,52.134,41.8,27.6,14.8,327.7,145.8,63.6,45.647,72.7,485.3,160.8,77.4,28.8,21.4,61.4,45.1,74.7,131.24,29.554,33.483,43.943,17.954,10.873,140.2,903.653,282.1,27.668,70.201,1,1,-0.94513,,-0.28208,2.6002962
1974,Q4,27.316,959.1,127.1,45.364,40.4,26.6,14.8,330.9,149.1,61.8,46.369,73.6,501,165.6,80.4,29.6,22.4,63.5,47.4,76,134.661,30.938,34.753,45.683,18.722,10.893,156.5,912.731,284.5,28.482,72.198,1,1,-0.38814,,0.08571,-2.9532274
1975,Q1,27.83,985.2,131.8,47.653,40.8,27.8,15.5,336.2,151.5,64.1,45.653,75,517.2,170,84.5,30.5,23.1,65.5,50.2,77.2,137.917,32.053,36.654,47.88,19.345,11.112,148.6,939.547,290.5,29.129,72.415,1,1,-1.2173,,0.9901,-7.9962946
1975,Q2,28.172,1013.6,136.7,48.55,41.9,30.2,16,344.8,154.8,66.5,46.948,76.6,532,174.9,87.7,31.4,23.2,68,51.3,78.9,140.625,34.272,38.005,49.714,20.346,11.072,188.5,966.652,297.9,29.562,75.8,0,0,0.71454,,0.94225,12.1013288
1975,Q3,28.699,1047.2,146.8,55.5,43.1,31.1,17,356,159.8,68.1,49.4,78.7,544.4,178.7,89.5,32.6,23.8,69,51.8,81.6,143.718,35.002,38.869,50.654,21.111,11.496,158.9,997.8,306.6,30.084,78.907,0,0,1.71166,,0.77954,1.6812983
1975,Q4,29.18,1076.2,153.4,58.868,44.5,32.4,17.6,359.7,160.2,68.8,50.079,80.6,563.2,182.5,94.2,33.7,24.6,72.8,53.9,83.6,147.418,35.1,40.447,53.777,21.694,12.001,160.1,1026.121,309.6,30.587,79.545,0,0,1.34651,,0.53768,-3.8485917
1976,Q1,29.502,1109.9,163.3,65.798,45.8,33.3,18.4,367.4,163.3,70.3,51.134,82.7,579.2,187,97.3,34.9,25.2,75.1,55.1,85.8,150.726,36.236,41.488,55.84,22.355,12.536,156.3,1058.766,316.3,30.911,81.564,0,0,2.24876,,1.07099,-3.1415723
1976,Q2,29.749,1129.5,165.9,66.961,46.4,33.7,18.9,373.1,165.8,71,51.593,84.6,590.6,190.9,100.3,35.7,25.9,76.8,55.3,86.8,153.963,36.937,43.097,57.241,22.76,12.97,154.8,1077.907,321.5,31.222,82.597,0,0,0.7337,-0.500797798,1.79552,9.7859982
1976,Q3,30.2,1158.8,169.8,68.709,47.4,34.3,19.4,380.6,168.5,73,53.228,85.8,608.4,196.5,103.4,36.4,27.1,79.3,57.4,89.4,157.688,38.815,43.726,59.629,23.074,13.369,155.4,1105.572,327.4,31.626,85.972,0,0,0.54872,2.708603009,1.38974,1.4821646
1976,Q4,30.678,1192.4,175.5,71.22,49,35.5,19.8,389.6,171.5,74.5,56.097,87.5,627.3,204.3,106.4,37.6,28,80.1,59.2,92.5,161.76,42.527,45.103,61.273,23.811,13.746,151,1136.303,333.5,32.192,92.414,0,0,0.72485,-1.60151531,1.36843,-2.1355095
1977,Q1,31.231,1228.2,183.9,78.285,51.1,35.9,18.7,396.5,175,75.7,56.562,89.2,647.8,210.2,109.7,39.4,28.2,84.8,60.7,94.8,166.6,43.562,46.362,63.358,25.289,14.148,141.9,1171.638,339.9,32.711,93.747,0,0,1.18149,-0.385185035,0.70247,-6.0637992
1977,Q2,31.766,1256,189.2,78.729,52.6,37.3,20.6,403.7,178.9,77.4,57.323,90.1,663.1,213.3,114.8,40.8,29,85.6,63.2,96.4,171.035,42.245,48.605,66.199,26.293,14.539,150.4,1198.677,346.4,33.172,93.052,0,0,1.94411,2.126528897,1.06444,9.5514267
1977,Q3,32.243,1286.9,194,79.879,53.9,38.4,21.8,409.9,180.3,79.8,57.899,91.9,683,221.1,118,42.3,30,85.7,66.7,98.5,175.479,45.659,51.007,66.972,27.363,14.95,160.4,1229.001,352,33.576,96.82,0,0,1.80435,0.047351484,1.06243,2.1145814
1977,Q4,32.702,1324.8,200.7,82.29,55.8,39.4,23.2,423.6,184.9,84.3,59.482,95,700.5,226.6,120.3,43,31,86.6,69.8,101.3,180.296,46.346,52.013,68.248,27.603,15.396,171.1,1265.318,364.1,34.301,98.783,0,0,0.00219,-2.407300079,1.07834,-2.165187
1978,Q1,33.238,1354.1,198.2,80.468,55.3,40,22.3,431.1,188.6,84.7,60.204,97.5,724.8,234.5,125.2,43.7,31.7,90.2,72.8,104.5,186.077,48.389,53.393,71.856,28.259,15.461,177.6,1293.896,370.9,34.8,101.35,0,0,0.31918,-4.004337726,1.1055,-6.1372107
1978,Q2,33.921,1411.4,216.2,92.443,59,41.5,23.2,444.8,193.8,89.1,60.596,101.4,750.4,241.3,129.5,45,32.3,95.2,77.1,107.4,191.663,49.591,54.133,75.393,29.379,15.613,167.6,1350.804,384.2,35.465,102.798,0,0,3.86425,-0.61189409,0.88292,10.9444524
1978,Q3,34.517,1442.2,216.7,91.18,59.8,41.7,24,455.6,198.5,90.5,61.166,105.5,769.9,246.7,132.8,45.8,33.4,100,77.6,110.3,196.944,49.787,54.796,77.988,29.896,15.934,176.5,1381.034,394.4,36.067,103.354,0,0,1.00552,2.180135882,2.10774,1.1450128
1978,Q4,35.169,1481.4,222.3,92.601,61.8,43.5,24.4,469.4,203.5,93,63.846,109,789.7,254.7,137.3,46.3,34.1,103,79.4,111.1,203.295,51.369,56.603,80.647,30.414,15.843,178.5,1417.554,405.6,36.806,107.321,0,0,1.34415,0.197478544,1.37854,-1.9798759
1979,Q1,35.831,1517.1,223.3,92.68,62.5,44.5,23.6,484.6,210.9,93.2,68.799,111.7,809.3,262.4,141.7,48.1,35.3,107.1,76.3,113.1,208.14,54.257,58.636,83.024,31.786,16.354,195,1448.301,415.8,37.476,114.981,0,0,0.17978,3.428243198,1.01807,-6.9891816
1979,Q2,36.81,1557.6,222.1,86.786,64.3,46.3,24.7,500.1,215.7,94.7,75.076,114.6,835.5,268.1,146.1,49.9,36.3,108.5,85.3,115.2,213.681,54.457,60.178,85.899,32.895,17.022,185.1,1482.524,425,38.394,121.24,0,1,0.10693,12.9532606,0.51417,1.8822716
1979,Q3,37.724,1611.9,230.9,91.801,66.9,46.4,25.8,522.3,220.1,98.1,86.106,118.1,858.6,276,151,51.3,37.3,111.4,86.8,118.8,221.056,54.932,62.741,88.265,33.501,17.809,182.1,1525.794,436.2,39.234,132.52,1,1,0.74287,13.6117246,-1.7114,-0.5176739
1979,Q4,38.637,1655,229,89.432,67.3,46.1,26.2,539.4,226.8,99.5,91.569,121.5,886.6,287.1,156.6,53.5,38,116.7,85.8,121.7,229.226,57.863,64.579,92.035,34.618,18.836,184.9,1563.431,447.8,39.962,140.682,1,1,0.25007,4.055020684,-0.49977,-2.7201178
1980,Q1,39.797,1702.3,232.1,91.768,67.4,45.5,27.3,559.9,232.8,100.2,101.648,125.3,910.3,296.4,162.4,54.2,39.1,118.5,87.7,123.7,235.353,61.096,66.574,95.867,34.537,19.651,195.8,1600.652,458.3,40.801,153.699,1,1,0.31452,12.19457673,-0.16499,-7.0034587
1980,Q2,40.771,1704.7,211.9,74.693,66,44.6,26.6,565.9,236,100.6,102.881,126.5,926.9,306.3,165.7,53.8,39.9,119.5,87.4,124.8,242.138,64.205,68.04,97.64,34.051,19.782,223.6,1601.819,463,41.772,157.772,0,1,-2.06048,3.361875996,-0.61211,4.5142273
1980,Q3,41.724,1763.8,225.4,84.157,67.4,46.5,27.3,576.5,241.3,103.9,100.975,130.3,961.9,317.8,174.7,56,41.3,122.1,92,127.6,249.899,67.856,71.707,102.966,35.454,20.581,234.1,1662.825,475.5,42.705,159.306,1,0,-0.11885,-2.287746401,0.0306,-0.313067
1980,Q4,42.757,1831.9,236.2,87.104,70.6,49.3,29.3,591.3,246.6,107.3,102.086,135.3,1004.4,329.3,183.8,57.4,43.1,126.8,99.5,132.6,258.816,70.451,76.221,107.628,36.462,20.95,242.9,1729.814,489.2,43.818,162.83,1,0,1.86493,-3.490254425,0.06966,-1.849079
1981,Q1,43.866,1885.7,246,96.734,71.5,48.5,29.3,614,250.6,110.9,113.447,139.1,1025.6,334.2,191.4,59.3,44.7,131.6,99.2,132.8,266.183,67.996,78.932,112.481,37.866,21.433,236.6,1772.253,500.6,44.972,171.494,1,0,1.95944,6.22323833,0.20654,-4.6669727
1981,Q2,44.601,1917.5,240.9,89.827,71.8,49.6,29.7,622.8,254,112.5,114.407,142,1053.7,347.9,199,58.8,46.5,133.9,98.5,135.6,273.905,74.031,82.416,116.609,37.362,21.472,241.4,1803.093,508.4,45.863,178.18,1,1,-0.74108,0.594252674,0.56698,7.4932944
1981,Q3,45.336,1958.1,251.9,98.766,72,51.2,30,629.1,256.7,114.7,112.599,145.1,1077,357.6,206.2,60.5,48.2,134.6,97.1,138.4,281.849,75.788,85.838,120.328,39.233,21.264,282.6,1845.501,516.5,46.726,177.678,1,1,1.19752,-3.45830109,0.85046,0.5130602
1981,Q4,46.031,1974.4,236.8,86.737,70.6,50.2,29.3,635.7,260.1,114.6,113.32,147.7,1101.9,368.5,211,60.5,49.1,135.6,99.1,142,289.857,78.674,87.151,123.897,39.175,21.352,301.2,1861.08,522.4,47.534,181.005,1,1,-1.08955,-2.38941132,0.35388,-2.4152789
1982,Q1,46.616,2014.2,246.4,97.178,70.1,49.9,29.2,639.9,262.3,116.1,111.964,149.6,1127.9,378.5,215.4,60,50.7,137.1,104.5,144.9,294.994,83.48,87.464,127.9,38.62,21.417,293.2,1902.236,527.9,48.188,184.264,1,1,-1.55354,-4.457043854,-0.48101,-7.2212591
1982,Q2,47.064,2039.6,249.2,96.917,71.3,51.1,29.9,638.7,265.9,114.9,106.082,151.9,1151.7,382.2,221.1,60.9,51.7,141,108.3,149.1,298.726,83.488,89.115,131.982,39.164,21.754,301.6,1933.518,532.6,48.814,178.056,1,1,0.4562,-6.372233895,0.4576,10.661135
1982,Q3,47.808,2085.7,252.1,98.652,71.9,51.5,30,649.7,268.6,117.2,108.679,155.3,1183.8,389.5,228.3,62.4,53.1,144.6,115.5,152,305.733,83.782,91.758,136.522,40.134,22.262,303,1977.021,541,49.506,180.665,1,0,-0.3823,3.570212978,1.65088,-1.1033711
1982,Q4,48.335,2145.6,264.4,107.309,73.9,52.6,30.5,656.7,271.8,118.9,106.675,159.4,1224.5,399.8,236,63.6,54.4,147.3,126.5,157.7,312.589,87.2,94.438,141.552,41.318,22.246,275.5,2038.925,550,50.019,181.737,0,0,0.03994,-4.099038679,0.93133,-2.1445218
1983,Q1,48.735,2184.6,268.9,106.025,76.1,54.9,31.9,657,270.9,120.5,102.964,162.6,1258.7,406,243.6,65,56.4,150.1,135.5,162.6,317.96,88.031,98.035,145.541,42.576,22.394,278.4,2081.636,554,50.397,178.417,0,0,1.31785,-7.706333856,1.04815,-5.1580006
1983,Q2,49.18,2249.4,289.6,121.549,77.9,57.2,33,673,275.7,125.3,105.309,166.7,1286.8,415.9,250.2,67.1,58.8,152,134.4,168.4,322.973,92.904,101.521,148.65,43.839,23.268,251.9,2144.091,567.7,50.771,185.353,0,0,2.27561,4.325261873,0.69645,7.2271004
1983,Q3,49.827,2319.9,302.4,127.089,81.2,59.7,34.3,688.4,279.8,127.9,109.281,171.5,1329.1,426.5,256.2,70.3,60.3,155.1,148.2,171.4,330.262,96.269,105.26,150.985,45.708,24.633,251.8,2210.619,579.1,51.311,192.311,0,0,1.99907,1.47997719,0.79912,2.9636714
1983,Q4,50.156,2372.5,319.3,137.119,83.9,62.9,35.4,696.5,281.7,132.1,108.27,174.5,1356.7,436.5,262.5,73.2,62.2,157,145.9,177,337.718,98.791,108.395,154.109,47.953,25.226,274,2264.23,588.2,51.7,193.309,0,0,2.08622,-3.848261274,0.88531,-1.9121008
1984,Q1,50.698,2418.2,331.4,143.396,85.8,65.8,36.4,706.5,285.4,134.4,108.041,178.6,1380.3,440.7,269.2,76.8,63.6,161.6,142.8,182.5,344.491,96.199,111.731,157.448,50.064,26.686,311.8,2310.159,598.5,52.223,189.98,0,0,1.95477,-3.44522662,0.74958,-6.0650291
1984,Q2,51.189,2475.9,341.3,147.234,88.8,67.1,38.1,722.4,290.6,138.2,109.584,184,1412.2,453.4,273.6,79.2,65.1,162.7,148.9,184.5,352.623,100.744,113.983,159.655,51.675,27.495,325.9,2366.316,612.8,52.67,195.635,0,0,1.72779,0.706099513,1.24523,8.6276575
1984,Q3,51.584,2513.5,342.1,146.1,89.4,68,38.6,724.6,293.5,137.3,106.992,186.8,1446.9,463.1,278.7,80.4,67,167,155.6,189.2,362.426,100.631,117.08,161.658,53.938,26.422,346.1,2406.508,617.6,53.138,192.435,0,0,0.96406,-3.055335956,1.1138,0.3484354
1984,Q4,51.902,2561.8,353.8,152.036,91.4,70.5,40,732.8,294.8,140.6,108.186,189.1,1475.2,472.9,284.4,83.8,68.7,168.4,155.8,193.7,371.189,101.737,120.284,164.067,56.211,27.573,337.6,2453.614,624.6,53.536,194.312,0,0,0.82086,-0.798399549,0.85856,-2.138655
1985,Q1,52.514,2636,368,162.848,92,73,40.2,742.4,297.8,143.1,108.141,193.4,1525.6,487,291,87.4,71,170.5,173.4,198.4,379.028,108.005,123.811,167.173,59.415,27.94,282.7,2527.859,634.3,54.065,199.895,0,0,0.96909,-5.670245915,0.62083,-4.543565
1985,Q2,52.94,2681.8,373.3,165.666,93.4,73.3,40.8,752.8,300.5,145.7,111.51,195.1,1555.8,491.7,297.7,89.6,73.1,174.6,175.7,205.8,389.18,102.528,127.467,170.241,61.333,28.299,317.3,2570.29,641.3,54.413,197.384,0,0,0.88046,6.267703154,1.00082,8.4370471
1985,Q3,53.355,2754.1,396.5,185.418,95.1,73.7,42.2,760.5,303.8,148,111.049,197.7,1597.2,505.3,306.1,91,74.8,175.4,183.8,212.6,400.068,105.222,131.395,174.691,63.046,27.997,256.4,2643.051,649.5,54.741,199.003,0,0,1.52712,-0.328853966,0.86631,0.5010731
1985,Q4,53.727,2779.4,383.8,166.329,97.9,76.2,43.2,773.3,309.7,150.6,111.428,201.6,1622.3,518.4,314,92.6,76.9,176.7,180,214.7,410.217,108.192,135.105,178.898,64.358,28.192,283.3,2667.972,661.9,55.047,201.88,0,0,0.74329,-2.389954125,0.88995,-2.0542407
1986,Q1,54.108,2823.6,391.6,169.549,100.1,77.7,44.2,779.3,314.5,153.4,106.606,204.7,1652.8,522.9,320.6,93.4,78.4,181.4,189,216.3,417.836,105.091,137.679,182.909,64.763,28.611,301.2,2716.994,672.7,55.321,193.444,0,0,0.9335,-9.403698325,1.06,-4.6499731
1986,Q2,54.051,2851.5,407.3,180.3,101.9,79.6,45.4,767.5,314.1,157,89.532,206.8,1676.7,533.2,325.8,94,79.3,185.3,188.1,218.3,426.812,106.349,140.85,184.994,65.148,28.899,310,2761.968,678,55.531,177.087,0,0,0.45038,-16.37208204,0.68461,8.5946758
1986,Q3,54.336,2917.2,445.7,208.066,105.2,84.9,47.5,771,316.3,158.9,84.804,211.1,1700.5,542,332.6,95.4,80.6,187.8,185.6,223,434.698,107.315,145.105,187.528,66.001,29.435,281.7,2832.396,686.2,55.758,172.745,0,0,0.95703,-6.636172451,0.7012,2.6477967
1986,Q4,54.665,2952.8,441.1,192.16,106.5,89.8,52.7,779,320.7,159.5,83.822,214.9,1732.7,549.8,341.6,97.2,83.1,192.3,188,227,442.731,107.07,149.788,191.784,67.284,29.894,269.5,2868.978,695.2,56.062,171.003,0,0,0.53708,-5.068293694,0.93892,-2.1574028
1987,Q1,55.179,2983.5,418.5,169.526,107.9,89.8,51.3,797.4,321.9,164.2,91.653,219.7,1767.6,555.6,350.6,99.5,84.6,198.1,189.3,235.6,449.106,106.514,157.025,193.568,69.182,30.319,303,2891.847,705.7,56.418,177.827,0,0,0.74517,7.559409902,1.36787,-6.7074825
1987,Q2,55.711,3053.3,439.1,186.316,108.9,91.7,52.2,812.3,324,166.7,96.229,225.4,1801.9,566.8,361,101.8,86.1,202.2,189,240.3,455.861,110.905,161.736,199.242,70.996,30.808,233.2,2957.071,716.1,56.809,186.247,0,0,1.0789,5.020577686,1.32773,11.1901793
1987,Q3,56.239,3117.4,460.5,204.255,110.7,93,52.6,820.7,325.2,169.5,97.925,228,1836.2,576.5,371.9,104.4,88,205.1,189.2,244.5,464.707,111.838,167.364,204.564,72.69,31.758,260.9,3019.475,722.8,57.239,188.347,0,0,0.86761,3.557834892,0.8467,0.2634153
1987,Q4,56.725,3150.9,449.9,192.628,110.7,92.7,53.9,826.8,326.1,170.6,99.667,230.4,1874.2,587.3,380.5,106.6,90.4,212.1,190.6,249.3,476.33,110.976,171.602,208.945,74.348,32.289,304.4,3051.233,727.1,57.695,188.99,0,0,1.71705,-2.233534424,1.1379,-1.8959392
1988,Q1,57.173,3231.9,470.4,205.898,112.3,96.3,56,838.4,333,172.7,98.42,234.2,1923.1,599.8,392.7,109.4,93.8,214.9,195.6,256.5,484.854,114.989,178.02,214.66,76.422,32.957,303,3133.48,740,58.147,191.316,0,0,0.51663,-6.329449201,1.1892,-4.0815928
1988,Q2,57.805,3291.7,473.2,202.318,114.5,99.3,57.1,853.5,339.9,175,99.618,239,1965,607.1,404.4,112.6,97.6,222.4,199.1,259.3,491.999,115.058,183.479,220.94,78.259,34.358,319.6,3192.082,753.9,58.713,192.124,0,0,1.31387,2.277166432,1.35156,7.0755803
1988,Q3,58.517,3361.9,470.4,196.832,115.2,100.2,58.1,870.8,347.1,179.3,100.873,243.5,2020.7,620.1,416.7,115.9,100.9,230.3,207.2,265,501.566,118.577,189.086,227.648,80.683,35.22,330,3261.027,769.9,59.415,196.221,0,0,0.58593,1.880461258,1.35789,0.6573511
1988,Q4,59.108,3434.5,486.2,203.805,118.6,103.8,60,886.3,351.3,185.8,100.491,248.8,2062.1,630.7,426.4,118.7,104.6,235.7,209.8,270.3,510.902,119.805,194.167,232.207,82.72,35.979,329.4,3334.009,785.8,59.929,196.645,0,0,1.3325,-3.972809081,1.18063,-2.0164173
1989,Q1,59.787,3490.2,486.5,206.096,120.1,100.8,59.5,902.5,357.8,186.2,103.502,255,2101.2,639.8,437.1,121.1,107.8,237.5,218.1,274.2,517.908,121.843,198.593,238.518,84.08,37.027,358,3386.698,799,60.553,200.943,0,0,1.0166,-2.845175648,1.24693,-5.3302018
1989,Q2,60.593,3553.8,493.3,207.677,121.3,103.6,60.8,927.7,362,189.6,116.218,260,2132.7,646.7,444.8,121.8,109.7,239.8,222.8,279.5,525.983,120.739,201.762,243.053,84.738,37.079,332.3,3437.582,811.5,61.198,211.966,0,0,0.76327,17.21409952,0.99251,6.0218678
1989,Q3,60.95,3609.4,505.6,216.833,121.8,105.2,61.8,936.3,367.8,191.5,110.673,266.3,2167.5,657.8,454.5,122,112,244.8,223.4,283.9,534.801,123.04,206.045,248.448,85.022,36.971,325.2,3498.727,825.6,61.645,208.166,0,0,0.74088,-4.337304489,0.9988,0.842048
1989,Q4,61.43,3653.7,491.9,200.478,122.4,106,63,951.3,374,194.3,111.361,271.7,2210.5,676.4,468.4,122.5,113.1,248.3,224.9,286.9,545.456,130.902,212.16,256.253,85.27,37.201,344.4,3542.339,839.9,62.084,216.164,0,1,0.19705,-6.081045356,0.95662,-0.8738378
1990,Q1,62.32,3737.9,515.4,218.403,124.6,106.7,65.7,974.2,383,195.7,116.416,279.1,2248.4,675.2,483.1,124.7,117.2,257,227.3,292.5,555.073,120.151,219.312,263.773,86.157,38.498,351.9,3621.484,857.8,62.754,209.976,1,1,1.09279,2.09185479,0.65348,-6.2424629
1990,Q2,62.886,3783.4,498.4,206.217,121.2,105.7,65.2,980.9,390,195.7,113.8,281.4,2304.2,692.4,499.4,126.7,120.9,262.1,229.1,298.9,565.883,126.531,228.401,270.976,88.068,38.67,374,3669.6,867.1,63.457,213.319,1,1,0.36291,1.793255025,0.67418,5.1819311
1990,Q3,63.685,3846.7,493.6,202.933,119.8,105.2,65.6,1003.1,395.8,195.9,125.453,286,2350,706.4,515.2,126.9,123.5,266.7,231.8,301.5,577.943,128.417,237.127,278.112,87.759,39.103,360.7,3721.247,877.6,64.001,226.554,1,1,0.06652,10.79462806,0.55699,2.122762
1990,Q4,64.527,3867.9,480.9,192.921,118.1,104.6,65.3,1018.8,396,193.7,141.128,288,2368.2,712.2,527.1,127.2,125.5,265.2,234.8,297,583.586,128.576,243.662,283.44,86.826,40.406,357.9,3726.772,877.7,64.477,242.026,1,1,-0.91038,14.31237108,0.15504,-3.503968
1991,Q1,64.866,3873.6,471.7,181.698,118.4,106.2,65.4,1014.2,400.6,196.2,124.729,292.6,2387.7,719.7,536.3,122.9,124.9,266.4,241.9,297.1,590.014,129.662,246.462,289.861,84.507,38.379,383.4,3748.871,889.5,65.109,226.323,1,1,-0.46784,-16.32275511,-0.20551,-6.4778627
1991,Q2,65.221,3926.9,475.2,181.444,119.9,108.1,65.9,1021.8,406.3,200.3,119.583,295.6,2429.9,733.6,548.1,122.8,126,274.1,247.2,298.7,596.946,136.692,250.246,297.846,83.772,38.995,384.9,3807.317,902.2,65.587,227.695,1,0,0.77972,-2.215583565,0.17461,8.6736013
1991,Q3,65.664,3973.3,484.3,191.685,118.9,109.2,64.5,1024.4,405.1,201.3,119.775,298.2,2464.5,740,561.3,123.9,127.7,275.8,253.8,301.4,604.766,135.206,256.176,305.152,84.248,39.628,386.3,3853.525,904.6,66.099,225.841,1,0,0.5053,-1.064728443,0.59815,1.7838706
1991,Q4,66.14,4000,477.5,188.166,117.9,107.5,63.9,1020.7,399.9,198.5,120.428,301.8,2501.9,747.7,577.3,125.2,130.2,277.2,257.4,305,614.256,133.45,262.188,315.107,84.986,40.181,429.1,3879.572,900.3,66.492,224.387,0,0,0.3485,-1.494766288,0.54385,-2.9909856
1992,Q1,66.555,4100.4,496.2,198.408,122,109.5,66.3,1037.7,402.7,205.8,120.106,309.1,2566.6,754.7,593.1,129.5,135.1,285.1,269.9,314.7,623.199,131.477,272.814,320.287,88.542,40.951,453.8,3980.294,917.6,66.739,222.052,0,0,1.19705,-6.090193413,0.83173,-3.6076788
1992,Q2,66.998,4155.7,501,202.283,123,108.9,66.8,1047.2,402.2,208.9,124.1,312,2607.5,766.6,607.8,131,138.3,280.6,273.5,322.5,630.716,135.923,280.506,327.271,91.537,39.476,476,4031.6,923.1,67.14,230.088,0,0,1.08435,5.925557739,0.74961,5.0340282
1992,Q3,67.425,4227,512.1,206.549,125.1,111.3,69.1,1061,404.9,213.5,126.849,315.9,2653.8,774.5,620.5,135.4,141.1,284.3,277.6,331.1,637.586,136.878,286.285,334.183,94.838,40.523,452.1,4100.151,934.2,67.468,233.236,0,0,0.98827,2.328613484,0.69111,2.6625775
1992,Q4,67.895,4307.2,523.1,211.954,127.1,114.3,69.8,1074.8,408,216.9,128.976,320.9,2709.3,788.7,629.8,138.6,144.7,295.3,287,334.6,646.327,142.343,290.948,338.847,97.61,41.01,433.5,4178.224,945.8,67.932,240.1,0,0,1.04316,-1.849796873,0.8722,-2.3461112
1993,Q1,68.299,4349.5,527.9,210.885,128.3,118.6,70.1,1079.1,408.3,215.4,128.645,326.8,2742.5,798,638.8,141.3,147.9,293.4,299.5,334.9,654.033,143.946,293.002,345.781,98.127,43.154,435.4,4220.855,950.5,68.313,240.31,0,0,0.1674,-4.190584691,0.67848,-5.344658
1993,Q2,68.758,4418.6,547.8,223.647,130.8,122.2,71.2,1086.3,411.4,217.9,126.443,330.5,2784.4,806.8,645,143.8,151.5,297.6,310.5,340,662.025,144.818,295.656,349.32,99.665,44.104,414.3,4292.157,959.9,68.719,238.222,0,0,0.58242,0.845131878,0.58436,8.7023864
1993,Q3,69.057,4487.2,556.6,225.961,132.6,124.8,73.4,1092.5,414.4,220.2,125.056,332.9,2838,822.4,652.8,147,156.1,301.5,319.9,347.9,670.011,152.348,299.014,353.792,101.401,45.607,372.3,4362.144,967.4,69.128,243.499,0,0,0.47731,-2.950798009,0.52783,3.5024028
1993,Q4,69.455,4552.7,573.8,238.369,133.7,128.3,73.3,1105.3,419.7,222.7,127.385,335.5,2873.6,832.6,658.7,150.9,158,301.1,326.1,354.5,679.471,153.105,302.127,356.542,103.896,46.984,368.7,4425.315,977.9,69.505,245.722,0,0,1.36011,0.031793607,0.51444,-2.9422897
1994,Q1,69.704,4621.2,588.8,247.101,135.2,131.8,74.7,1116.8,423.9,224.9,127.371,340.7,2915.6,847.2,667.1,154.9,160.6,301.8,327.8,362.4,692.981,154.173,307.775,359.34,107.382,47.54,350.4,4493.829,989.4,69.837,246.048,0,0,0.97022,-5.61699628,0.36405,-6.2126084
1994,Q2,70.093,4683.2,598.7,245.67,139.3,138.4,75.3,1128.1,430.2,225.5,124.823,347.7,2956.3,860.5,675.5,159.3,163.1,307.6,327.7,366.4,703.525,156.996,312.293,363.173,110.573,48.682,364.8,4558.377,1003.3,70.174,245.506,0,0,1.35505,3.038941304,0.71528,8.0433129
1994,Q3,70.596,4752.8,609.3,247.733,142.5,142,77.1,1149.6,435.2,227.7,132.234,354.4,2993.9,868.1,684.7,163.2,166.4,310.8,325.9,375.4,714.845,153.261,316.243,368.442,113.396,49.759,357.2,4620.566,1017.4,70.577,248.373,0,0,0.58452,6.924408802,0.70141,2.6431511
