ArgentinaIPm ,IndiaIP ,KoreaGDP ,KoreaIP ,MalaysiaGDP ,MalaysiaIP ,TaiwanGDP ,TaiwanIP ,SingaporeGDP ,SingaporeIP ,HongKongGDP ,HongKongIP ,ChinaRGDP ,ChinaIP ,ThailandGDP ,ThailandIP ,BrasilGDP ,SorAfrikaGDP ,SorAfrikaIP ,PeruGDP ,PeruIP ,ChileGDP ,ChileIP ,IndonesiaRGDP 
0.00747267,0.04865208,0.01831756,0.01403532,0.06545335,-0.02876969,0.01709308,0.02701129,0.01309335,0.01883617,0.02232567,0.00878601,0.0300859,-0.21357692,0.06849521,0.00752903,0.00471477,0.01429275,0.01119116,0.02448958,0.05067955,0.02706752,0.02489089,0.04111224
0.00663564,0.04198594,0.01725281,0.03844985,-0.00795566,0.02053696,0.01191464,-0.01043462,0.04080414,0.01932021,0.01206191,0.0026291,0.0300859,-0.11560539,0.00015146,0.01997551,-0.00377003,0.00738099,0.01967793,0.03545989,0.00343677,-0.00202606,0.0055358,0.04157264
-0.00880256,-0.00450254,0.02590108,0.02319905,0.04600159,0.0263701,0.01755618,0.01749485,0.02706358,0.04394523,0.02122267,-0.01724567,0.03112724,-0.01188794,0.02502538,0.02115713,0.0131334,-0.00142577,-0.00861062,0.06589226,0.09427883,0.02225993,0.01227971,-0.0074351
0.02184671,0.02415229,0.01634259,0.03381965,0.0952915,0.08066003,0.0329362,0.02873292,0.01119687,0.04438253,0.00767891,0.00134158,0.02259093,0.00937824,-0.00112895,0.0129099,0.01388268,0.01078957,-0.009082,0.00399817,0.06520878,0.01509921,0.00724453,0.02885617
0.00877255,0.00519311,0.01605482,-0.00158479,0.08201854,-0.00313002,0.00754199,0.0010616,0.02746654,0.02779,0.00797246,0.01550629,-0.00033881,0.27524737,0.02776534,0.0161903,0.036105,0.01118505,0.04612327,0.03535732,0.04045361,0.00407227,-0.00051573,0.00413188
0.00913857,0.03796055,0.03779925,0.06374519,0.0135576,0.04335963,0.02283544,0.03281156,0.01282329,0.00295858,0.01342618,0.01006859,-0.01112399,-0.06201277,0.04059785,0.03469021,0.03911842,0.01655356,0.03863779,0.03214864,0.03419813,0.01631715,0.01051966,0.00732607
-0.01939145,0.02389682,0.01931972,0.03509132,-0.02625545,0.04607894,0.01168254,0.02789207,-0.00121847,0.00955538,0.00576709,0.00671046,0.04041762,-0.29157952,0.02800243,-0.1344874,0.00933397,0.00360548,0.01339387,0.03288846,0.01925169,0.04938002,0.03239455,0.04054124
-0.06626836,0.04104049,0.01733156,0.02483278,0.01183719,-0.01502951,0.02158057,0.00671505,0.02820294,0.0359234,-0.0010645,-0.00724822,0.02787131,-0.08211671,0.02038332,0.0330333,-0.01446218,0.00443013,0.01498957,0.00767283,0.00578432,0.03031802,0.03782269,0.02120778
-0.01504726,0.03377482,0.01883719,0.0048934,0.12207894,0.05234191,0.00865269,-0.00990235,0.0421258,0.0714833,-0.00286917,-0.00398605,0.03305221,-0.14899339,-0.00325531,0.0030403,-0.01728651,0.00430771,0.01546604,0.01073794,0.00360061,0.01395581,-0.00932241,0.00590459
0.02347688,0.03306606,0.01400866,0.0268334,-0.01644294,0.01091979,0.00272272,-0.0325318,0.01073843,-0.00725358,0.01295817,-0.01595368,0.00818714,-0.03081067,0.01577117,0.0114374,0.00608433,0.00393805,-0.01051903,-0.01745394,-0.01146273,0.01805128,-0.00120149,0.02119531
